CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02.03,Despesas Gerais e Administrativas,-12165000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02.04,Despesas com Serviços de Terceiros,-55393000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02.04,Despesas com Serviços de Terceiros,-34046000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02.05,Impostos e Taxas,-3684000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02.05,Impostos e Taxas,-5626000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02.06,Despesa de Depreciação,-10090000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02.06,Despesa de Depreciação,-3195000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-1028666000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-79497000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.03.01,Baixa de poço seco,-541791000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.03.01,Baixa de poço seco,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.03.02,Provisão de impairment,-486875000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.03.02,Provisão de impairment,-79497000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.04,Outras Receitas Operacionais,98207000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.04,Outras Receitas Operacionais,271654000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.04.01,Resultado na venda de participação no Solimões,1502000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.04.01,Resultado na venda de participação no Solimões,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.04.02,Resultado na venda de ativos permanentes,96705000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.04.02,Resultado na venda de ativos permanentes,271654000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.04.03,Outras,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.04.03,Outras,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.05,Outras Despesas Operacionais,-12543000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.05,Outras Despesas Operacionais,17797000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.06,Resultado de Equivalência Patrimonial,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.06,Resultado de Equivalência Patrimonial,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-1067875000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,84214000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.06,Resultado Financeiro,15872000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.06,Resultado Financeiro,20680000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.06.01,Receitas Financeiras,81445000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.06.01,Receitas Financeiras,332553000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.06.02,Despesas Financeiras,-65573000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.06.02,Despesas Financeiras,-311873000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.07,Resultado Antes dos Tributos sobre o Lucro,-1052003000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.07,Resultado Antes dos Tributos sobre o Lucro,104894000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,53241000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,5527000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.08.01,Corrente,-13287000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.08.01,Corrente,124000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.08.02,Diferido,66528000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.08.02,Diferido,5403000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.09,Resultado Líquido das Operações Continuadas,-998762000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.09,Resultado Líquido das Operações Continuadas,110421000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.10,Resultado Líquido de Operações Descontinuadas,-4311000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.10,Resultado Líquido de Operações Descontinuadas,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,-4311000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.11,Lucro/Prejuízo Consolidado do Período,-1003073000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.11,Lucro/Prejuízo Consolidado do Período,110421000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.11.01,Atribuído a Sócios da Empresa Controladora,-1003073000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.11.01,Atribuído a Sócios da Empresa Controladora,110421000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.11.02,Atribuído a Sócios Não Controladores,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.11.02,Atribuído a Sócios Não Controladores,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.99,Lucro por Ação - (Reais / Ação),0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.99,Lucro por Ação - (Reais / Ação),0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.99.01,Lucro Básico por Ação,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.99.01,Lucro Básico por Ação,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.99.01.01,ON,-33718.5,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.99.01.01,ON,1674.6000000000001,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.99.02,Lucro Diluído por Ação,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.99.02,Lucro Diluído por Ação,0.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.99.02.01,ON,-33718.5,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.99.02.01,ON,1674.6000000000001,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.01,Receita de Venda de Bens e/ou Serviços,253071000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.01,Receita de Venda de Bens e/ou Serviços,397871000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-294457000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-408468000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.03,Resultado Bruto,-41386000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.03,Resultado Bruto,-10597000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04,Despesas/Receitas Operacionais,125600000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04,Despesas/Receitas Operacionais,269681000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.01,Despesas com Vendas,0.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.01,Despesas com Vendas,0.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02,Despesas Gerais e Administrativas,-84354000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02,Despesas Gerais e Administrativas,-75029000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02.01,Despesas com Geologia e Geofísica,-1450000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02.01,Despesas com Geologia e Geofísica,-797000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02.02,Despesas com Pessoal,-27872000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02.02,Despesas com Pessoal,-27762000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02.03,Despesas Gerais e Administrativas,-12165000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02.03,Despesas Gerais e Administrativas,-11407000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02.04,Despesas com Serviços de Terceiros,-34046000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02.04,Despesas com Serviços de Terceiros,-33307000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02.05,Impostos e Taxas,-5626000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02.05,Impostos e Taxas,-1388000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.02.06,Despesa de Depreciação,-3195000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.02.06,Despesa de Depreciação,-368000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-79497000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.03.01,Baixa de poço seco,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.03.01,Baixa de poço seco,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.03.02,Provisão de impairment,-79497000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.03.02,Provisão de impairment,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.04,Outras Receitas Operacionais,271654000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.04,Outras Receitas Operacionais,-6712000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.04.01,Resultado na venda de participação no Solimões,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.04.01,Resultado na venda de participação no Solimões,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.04.02,Resultado na venda de ativos permanentes,271654000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.04.02,Resultado na venda de ativos permanentes,-6712000.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.04.03,Outras,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.04.03,Outras,0.0,N
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.05,Outras Despesas Operacionais,17797000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,3.04.05,Outras Despesas Operacionais,351422000.0,S
10.629.105/0001-68,2016-12-31,2,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,3.04.06,Resultado de Equivalência Patrimonial,0.0,S
