CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01.02.01,INSS,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01.02.01,INSS,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01.02.02,FGTS,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01.02.02,FGTS,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01.02.03,Provisões Trabalhistas,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01.02.03,Provisões Trabalhistas,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01.02.04,Outras Obrigações Trabalhistas,7439.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01.02.04,Outras Obrigações Trabalhistas,7373.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.02,Fornecedores,50507.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.02,Fornecedores,52469.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.02.01,Fornecedores Nacionais,32511.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.02.01,Fornecedores Nacionais,28846.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.02.02,Fornecedores Estrangeiros,17996.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.02.02,Fornecedores Estrangeiros,23623.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03,Obrigações Fiscais,8518.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03,Obrigações Fiscais,13082.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03.01,Obrigações Fiscais Federais,8518.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03.01,Obrigações Fiscais Federais,13082.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03.01.02,PIS e COFINS sobre Importação de Serviços,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03.01.02,PIS e COFINS sobre Importação de Serviços,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03.01.20,Outros,8518.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03.01.20,Outros,13082.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03.02,Obrigações Fiscais Estaduais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03.02,Obrigações Fiscais Estaduais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.03.03,Obrigações Fiscais Municipais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.03.03,Obrigações Fiscais Municipais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.04,Empréstimos e Financiamentos,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.04,Empréstimos e Financiamentos,664.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.04.01,Empréstimos e Financiamentos,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.04.01,Empréstimos e Financiamentos,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.04.01.01,Em Moeda Nacional,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.04.01.01,Em Moeda Nacional,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.04.01.02,Em Moeda Estrangeira,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.04.01.02,Em Moeda Estrangeira,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.04.02,Debêntures,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.04.02,Debêntures,664.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05,Outras Obrigações,87863.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05,Outras Obrigações,11835.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.01,Passivos com Partes Relacionadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.01,Passivos com Partes Relacionadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.01.01,Débitos com Coligadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.01.01,Débitos com Coligadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.01.03,Débitos com Controladores,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.01.03,Débitos com Controladores,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02,Outros,87863.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02,Outros,11835.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.01,Dividendos e JCP a Pagar,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.01,Dividendos e JCP a Pagar,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.04,Instrumentos Financeiros e Derivativos,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.04,Instrumentos Financeiros e Derivativos,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.05,Gastos com Emissão de Ação a Pagar,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.05,Gastos com Emissão de Ação a Pagar,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.06,Contas a pagar Petra,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.06,Contas a pagar Petra,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.07,Outras obrigações,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.07,Outras obrigações,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.08,Adiantamento de Parceiros,62495.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.08,Adiantamento de Parceiros,7658.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.09,Adiantamento para Alienação de Ativo Fixo,25368.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.09,Adiantamento para Alienação de Ativo Fixo,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.05.02.20,Outros,0.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.05.02.20,Outros,4177.0000000000,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06,Provisões,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06,Provisões,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.01.01,Provisões Fiscais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.01.01,Provisões Fiscais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.01.04,Provisões Cíveis,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.01.04,Provisões Cíveis,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.02,Outras Provisões,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.02,Outras Provisões,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.02.01,Provisões para Garantias,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.02.01,Provisões para Garantias,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.02.02,Provisões para Reestruturação,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.02.02,Provisões para Reestruturação,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02,Passivo Não Circulante,283794.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02,Passivo Não Circulante,177509.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.01,Empréstimos e Financiamentos,87568.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.01,Empréstimos e Financiamentos,31461.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.01.01,Empréstimos e Financiamentos,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.01.01,Empréstimos e Financiamentos,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.01.01.01,Em Moeda Nacional,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.01.01.01,Em Moeda Nacional,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.01.01.02,Em Moeda Estrangeira,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.01.01.02,Em Moeda Estrangeira,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.01.02,Debêntures,87568.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.01.02,Debêntures,31461.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.02.02,Outras Obrigações,14862.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.02.02,Outras Obrigações,13049.0000000000,S
